ID,NAME,PARENTNAME,DATEADDED,DATEEDITED
"61481fe8-0ea8-4d4a-9e17-ec446a9b00f3","TELEMUNDO SHOW / EVENT SPECIFIC SOPs","4. Telemundo","2019-04-16 12:42:47 PM","2019-04-16 12:42:47 PM",
"a51262ea-1150-4e2d-b5bd-91a992995c1e","WC Archive Research Coordinators","Content Management","2019-04-29 8:40:23 AM","2019-04-30 1:21:34 PM",
"2ba1f458-5bd9-44c5-a7e4-a93a0fa6aef1","WC Archive Media Operators","Content Management","2019-04-29 8:40:59 AM","2019-04-29 8:40:59 AM",
"f41c7cf0-7df9-4e27-9c7d-e7506526644f","WC Content Mastering","Content Management","2019-04-29 8:49:46 AM","2019-04-30 1:22:12 PM",
"3645e39b-aa45-4e13-839d-c0edc0354fb6","2. On-AIr Equipment & Systems ","DC Business Continuity MCO","2019-04-04 5:58:46 PM","2019-04-16 11:39:01 AM",
"5a433027-0ebf-4491-a3e6-c7408272dcd1","3. NBC","DC Business Continuity MCO","2018-07-25 9:17:42 AM","2019-04-16 11:36:42 AM",
"e36bf459-3b58-4b06-bb7f-c96fa2cd767b","4. Telemundo","DC Business Continuity MCO","2018-08-06 10:54:15 AM","2019-04-16 11:36:51 AM",
"66727062-9fa1-4808-be49-e5774daceab1","1. On-Air Processes","DC Business Continuity MCO","2018-07-20 10:07:36 AM","2019-04-16 11:38:08 AM",
"3194f346-c356-4a82-9613-6f0211c919fa","1. On-Air Processes - TM","DC Business Continuity TMs","2018-08-06 4:32:47 PM","2019-04-20 3:49:36 PM",
"1bc2bed4-6d1c-4165-8522-70d03da1cccb","4. Telemundo TM","DC Business Continuity TMs","2019-04-20 3:57:22 PM","2019-04-20 3:57:22 PM",
"2a9ff28b-6c03-4fcb-baa2-c026ff27aff7","2. On-Air Equipment & Systems - TM","DC Business Continuity TMs","2018-09-11 12:54:03 PM","2019-04-20 3:53:44 PM",
"3341c1fb-ab84-4ccb-ae54-ccdc22bd8f70","3. NBC - TM","DC Business Continuity TMs","2018-09-11 1:07:25 PM","2019-04-20 3:55:38 PM",
"150d0cf6-b297-42a5-8d51-5d1a72fde5a6","DC Post Editorial: Mediator","DC Editorial","2018-06-26 10:50:20 AM","2019-04-29 8:56:10 AM",
"eaef138c-5f07-4933-946a-668470926b6f","AVID","DC Editorial","2018-06-26 10:47:51 AM","2019-04-29 8:56:10 AM",
"27d2c2a7-6941-49d5-a131-6dfc9ef07264","Localization","DC Editorial","2018-06-26 10:51:00 AM","2019-04-29 8:56:10 AM",
"e314feb9-826d-48c9-9d1f-6fd4eabc53ee","Jira","DC Editorial","2018-12-20 8:51:53 AM","2019-04-29 8:56:10 AM",
"f515d5b9-8cdb-48b1-a425-77f9aafa0208","Post Production Hardware/Software","DC Editorial","2018-06-26 10:49:32 AM","2019-04-29 8:56:10 AM",
"64de7c6e-d6c9-4e27-8973-93085e5aaeae","DC Post Regions (Segmentation & Process)","DC Editorial","2018-06-26 10:46:45 AM","2019-04-29 8:56:10 AM",
"391252d7-6773-4a25-807e-9ad970ca09d4","Harding","DC Editorial","2018-06-26 10:49:03 AM","2019-04-29 8:56:10 AM",
"9c023271-444b-4e1c-8ca8-b3ab5adb8cb8","Domestic","DC Editorial","2018-06-26 10:51:23 AM","2019-04-29 8:56:10 AM",
"33b24561-3a0b-4757-b02b-e3063d6ace2f","Vantage","DC Editorial","2018-12-20 8:45:53 AM","2019-04-29 8:56:10 AM",
"d5c5df18-e599-481c-b6f6-05e296cd11d5","NBC Satellite Channels (7)","DC HUB MCO","2017-07-24 5:41:15 PM","2019-02-19 4:48:05 PM",
"ec18d968-924f-4d5e-a341-0b81bee95f20","Initial Sync to Update Folder","DC HUB MCO","2017-07-24 5:26:41 PM","2019-02-19 4:48:05 PM",
"d46811e8-3505-4190-a948-10cf29101d3e","Locating Daily Contingencies","DC HUB MCO","2017-07-24 5:38:24 PM","2019-02-19 4:48:05 PM",
"dadd9511-e87a-4d5c-904d-125086df3518","Delay Servers & Redundancy","DC HUB MCO","2017-07-24 5:42:49 PM","2019-02-19 4:48:05 PM",
"bd436f83-1efe-421e-9581-1b4b596edad0","Hotlisting","DC HUB MCO","2018-11-21 3:25:38 PM","2019-02-19 4:48:05 PM",
"e63f087c-dd05-4dff-9c23-1c5fe4b03a90","Sync Protocol for Cascading Timings","DC HUB MCO","2017-07-24 5:38:42 PM","2019-02-19 4:48:05 PM",
"b797bdd9-4fb4-465c-a4f3-234d31eee724","DC HUB MCO Misc","DC HUB MCO","2019-02-26 12:04:34 PM","2019-02-26 12:04:34 PM",
"478b932d-8ed1-4481-b7b8-244cf7d6c10f","Break-In Timestamps","DC HUB MCO","2017-07-24 5:50:33 PM","2019-02-19 4:48:05 PM",
"c18b765b-237c-4ec2-a532-27b559e78152","Ku vs. CBAND","DC HUB MCO","2017-07-24 5:43:09 PM","2019-02-19 4:48:05 PM",
"9c86c24b-8234-48c7-90c7-38c92615b18e","Equipment Failures","DC HUB MCO","2017-07-24 5:51:13 PM","2019-02-19 4:48:05 PM",
"7a185fce-99f9-424b-a039-411a4937e11f","DC HUB PODS","DC HUB MCO","2019-04-08 12:54:49 PM","2019-04-08 12:54:49 PM",
"f9b25830-8a2b-4697-97c1-511e56f2cb32","Gerald/Crispin View","DC HUB MCO","2017-07-24 5:48:25 PM","2019-02-19 4:48:05 PM",
"84fc43bf-45b5-40ff-8763-52a3e66e4e40","RTS Talk/Listen","DC HUB MCO","2017-07-24 5:45:55 PM","2019-02-19 4:48:05 PM",
"02b47e14-328f-44d1-9c5c-57ae294b88c8","Navigating Good Reader","DC HUB MCO","2017-07-24 5:26:14 PM","2019-02-19 4:48:05 PM",
"a9c57cd5-ed52-4bda-bc10-5b66e72b63b3","Hub Downlinks in NBC E-Lists","DC HUB MCO","2017-07-24 5:44:34 PM","2019-02-19 4:48:05 PM",
"6b0fe301-cbbe-4630-b9e6-5d909d5482e5","Statmon","DC HUB MCO","2017-07-24 5:49:20 PM","2019-02-19 4:48:05 PM",
"f27c5b5d-1729-451d-8376-61b25476ef2d","Skypath Switches NET 1 IRD (Station Clearance/Force Tuning)","DC HUB MCO","2017-07-24 5:43:44 PM","2019-02-19 4:48:05 PM",
"5d8a3ec7-096c-4bf2-99c0-6a1eaf95a09b","Log Appends Checklist","DC HUB MCO","2017-07-24 5:51:46 PM","2019-02-19 4:48:05 PM",
"dfac5926-3fc2-4308-954a-6b17ef9eecc4","Validation Checklist","DC HUB MCO","2017-07-24 5:51:32 PM","2019-02-19 4:48:05 PM",
"84cf0a60-a811-41f3-b3da-6c067ff89894","MIP","DC HUB MCO","2017-07-24 5:23:30 PM","2019-02-19 4:48:05 PM",
"3fd55946-992d-46f7-b6aa-6e2cb2833a58","QC/MON Routing","DC HUB MCO","2017-07-24 5:49:08 PM","2019-02-19 4:48:05 PM",
"8cbbcf24-3806-46bd-821f-77893f8cb712","SOPs","DC HUB MCO","2017-07-24 5:40:41 PM","2019-02-19 4:48:05 PM",
"9ab4402d-8728-4519-816c-7883551536ef","Snell Function","DC HUB MCO","2017-07-24 5:23:56 PM","2019-02-19 4:48:05 PM",
"6be1e480-82f7-4fc8-bdd2-80506b59511a","Morpheus UI","DC HUB MCO","2017-07-24 5:23:11 PM","2019-02-19 4:48:05 PM",
"f3a400d7-9192-48b6-865c-84aadeb5d173","Trello Notes","DC HUB MCO","2017-07-24 5:39:41 PM","2019-02-19 4:48:05 PM",
"196f3f85-61d4-4ab0-8253-8bb88f310ddc","DC HUB","DC HUB MCO","2019-02-26 12:49:40 PM","2019-02-26 12:49:40 PM",
"78847dd2-3587-4886-9edc-8cd76d3c6c43","NBC","DC HUB MCO","2017-07-24 5:41:59 PM","2019-02-19 4:48:05 PM",
"8565c096-f48f-4c30-97cf-966ea088ff50","Pod Notes","DC HUB MCO","2017-07-24 5:39:59 PM","2019-02-19 4:48:05 PM",
"52be0ad0-9121-47b0-9b10-98797e9931d3","Audio/Video/CC Issues","DC HUB MCO","2017-07-24 5:50:55 PM","2019-02-19 4:48:05 PM",
"fa22ee52-1303-40f6-8d61-a9c7f422fa1b","Missing Material","DC HUB MCO","2017-07-24 5:49:55 PM","2019-02-19 4:48:05 PM",
"2e9c863f-8eca-4b26-82fe-ad1fb0cf6427","AsRun Viewer","DC HUB MCO","2017-07-24 5:24:23 PM","2019-02-19 4:48:05 PM",
"a5251870-2cb3-45b3-838b-ad4170c9c0e2","Spoke RTR Panel Routing","DC HUB MCO","2017-07-24 5:47:11 PM","2019-02-19 4:48:05 PM",
"ca06499c-fb35-431e-8caf-aee3738b74b1","CBAND IRD Manually Tuned by Station","DC HUB MCO","2017-07-24 5:44:14 PM","2019-02-19 4:48:05 PM",
"1fccf80c-3bbe-4f83-8dc1-b04cd977804e","APT HUB MCO","DC HUB MCO","2019-04-08 12:52:52 PM","2019-04-08 12:52:52 PM",
"39842549-1772-4e3f-bd16-b397862c96ad","Log Errors","DC HUB MCO","2017-07-24 5:50:12 PM","2019-02-19 4:48:05 PM",
"3736af19-3a9c-4492-a4fd-bb256d3d2056","Palette","DC HUB MCO","2017-07-24 5:21:52 PM","2019-02-19 4:48:05 PM",
"d2a5217a-3f31-48a0-bad6-be354666646a","Spoke RTR Panel Break-In","DC HUB MCO","2017-07-24 5:46:12 PM","2019-02-19 4:48:05 PM",
"3b01bc80-7f07-462e-afe9-c031c0c0cf77","Material ID Nomenclature","DC HUB MCO","2017-07-24 5:52:04 PM","2019-02-19 4:48:05 PM",
"79dca5d5-5b1f-4ed8-b220-c23dc4e86117","Sync Conflicts and Resolutions","DC HUB MCO","2017-07-24 5:39:08 PM","2019-02-19 4:48:05 PM",
"d65207c5-2a27-4459-8060-c2509b5af083","Gang Take","DC HUB MCO","2017-07-24 5:45:30 PM","2019-02-19 4:48:05 PM",
"17ba0819-a6dd-4332-a73e-c7b9f245301a","SR Start and End","DC HUB MCO","2017-07-24 5:45:10 PM","2019-02-19 4:48:05 PM",
"c853d0b9-8ced-496e-acb3-cbee423ed904","QC Video Player","DC HUB MCO","2017-07-24 5:48:41 PM","2019-02-19 4:48:05 PM",
"62989a24-76fb-4d35-9d20-d7f9ce1577ef","Marking Up APT Formats","DC HUB MCO","2017-07-24 5:37:45 PM","2019-02-19 4:48:05 PM",
"1a029f43-9131-4f7f-be7a-d988ca397939","OTTO Reports","DC HUB MCO","2017-07-24 5:24:39 PM","2019-02-19 4:48:05 PM",
"15989011-e7d8-4028-9336-dd4969ecf2be","Property Inspector","DC HUB MCO","2017-07-24 5:22:49 PM","2019-02-19 4:48:05 PM",
"fe33e079-e53a-4eb0-9d40-e01067607720","DNF Functionality","DC HUB MCO","2019-04-08 12:57:08 PM","2019-04-08 12:57:08 PM",
"ce443d79-14a6-4afd-8049-e213b8588b5c","TLMD","DC HUB MCO","2017-07-24 5:42:22 PM","2019-02-19 4:48:05 PM",
"d198a2be-dfab-47b2-a04b-e60971d22687","Recovery Training","DC HUB MCO","2017-07-24 5:52:21 PM","2019-02-19 4:48:05 PM",
"5274e5c7-f1b8-48dc-8f77-eb4d1a258108","KBLR","DC HUB MCO","2019-03-22 3:48:13 PM","2019-03-22 3:48:13 PM",
"d5b4f633-4e20-4358-8b5e-ec9501c7d928","Spoke in Main List","DC HUB MCO","2017-07-24 5:44:52 PM","2019-02-19 4:48:05 PM",
"b07196de-ce8e-4cde-9273-f0da31974f9e","Locating APT Formats in Good Reader","DC HUB MCO","2017-07-24 5:37:25 PM","2019-02-19 4:48:05 PM",
"9a769ed7-3c61-4a23-a50a-f889299b807d","iControl","DC HUB MCO","2017-07-24 5:49:35 PM","2019-02-19 4:48:05 PM",
"dd9bbe87-fa53-4701-aa66-07dd4de15b45","C. Escalation","DC HUB TMs","2018-06-20 5:56:55 PM","2019-02-19 4:47:45 PM",
"6af59351-bfe2-49bb-b488-0b35bddaf313","Local Ingest","DC HUB TMs","2018-05-11 12:49:05 PM","2019-02-19 4:47:45 PM",
"7ac32ed1-ccb5-4099-bc21-161d098766d6","OTTO","DC HUB TMs","2018-05-11 12:49:22 PM","2019-02-19 4:47:45 PM",
"9841beb4-8448-4f3a-9f02-199d4b9135a0","Purge","DC HUB TMs","2018-05-11 12:49:33 PM","2019-02-19 4:47:45 PM",
"79533cda-1399-4c4c-b07b-23d2b19ebd13","D. Snell","DC HUB TMs","2018-05-11 12:50:32 PM","2019-02-19 4:47:45 PM",
"bae4e3cc-497d-4664-8cc4-35dbe4249adb","Vitac","DC HUB TMs","2018-05-11 12:51:04 PM","2019-02-19 4:47:45 PM",
"6952c086-41d0-4fe9-b636-430c53e043cf","I. Fiber","DC HUB TMs","2018-05-11 12:48:40 PM","2019-02-19 4:47:45 PM",
"e1d4724f-d7e0-4843-8042-4614e849fc17","H. Routing","DC HUB TMs","2018-05-11 12:49:48 PM","2019-02-19 4:47:45 PM",
"dcc28352-bd69-424e-9ba7-6f43cc7424a4","Cable Return","DC HUB TMs","2018-05-11 12:48:30 PM","2019-02-19 4:47:45 PM",
"5911a5f8-6611-46c6-b67c-7d8e91465357","J. SRs","DC HUB TMs","2018-05-11 12:50:41 PM","2019-02-19 4:47:45 PM",
"f7096a46-d6e9-4ed2-932a-858ec454dcaf","F. IRDs","DC HUB TMs","2018-05-11 12:50:53 PM","2019-02-19 4:47:45 PM",
"c9798e37-9ccb-4cd4-bdc5-87fb29989d79","A. Critical Systems","DC HUB TMs","2018-05-11 12:47:45 PM","2019-02-19 4:47:45 PM",
"3212585d-3d0c-4cc3-8fbb-937bc639ae9a","B. TM Tasks","DC HUB TMs","2018-05-11 12:48:01 PM","2019-02-19 4:47:45 PM",
"d8154f42-4807-457f-ad7e-a47c6c22f6f4","E. Signal Flow","DC HUB TMs","2018-05-11 12:50:17 PM","2019-02-19 4:47:45 PM",
"3aa96850-84cc-464e-82ea-ad0ea00ee80e","RTS","DC HUB TMs","2018-05-11 12:50:00 PM","2019-02-19 4:47:45 PM",
"83833762-f90b-421e-89af-bbf2a59f2531","Volicon","DC HUB TMs","2018-05-11 12:51:15 PM","2019-02-19 4:47:45 PM",
"69445b27-49de-4240-bc43-e5411db9d56f","G. Mediator","DC HUB TMs","2018-05-11 12:48:53 PM","2019-03-26 12:16:51 PM",
"be39877e-aca5-48be-9a60-e70c8453ae1f","K. Station Specific","DC HUB TMs","2018-05-11 12:48:17 PM","2019-02-19 4:47:45 PM",
"b77ad036-56d3-4919-a7ed-24fe05122b10","DC TVE/DR MCO","DC MCO","2018-07-10 12:35:41 PM","2019-02-19 4:45:53 PM",
"cb9a2370-269c-48ac-991c-7e82f41b3ab3","DC Business Continuity MCO","DC MCO","2018-08-29 10:55:47 AM","2019-02-19 5:01:08 PM",
"72a15dcb-20b6-4862-a245-dd3216ade785","DC HUB MCO","DC MCO","2017-07-24 3:03:47 PM","2019-02-19 4:48:05 PM",
"5203e8bf-d037-4345-8fe9-d0227494ce64","DC Scheduling","DC On-Air Scheduling","2018-04-06 7:20:50 PM","2019-04-30 1:13:46 PM",
"6a2d86c5-1bbd-4b9b-87eb-458e0ed9784f","DC Editorial","DC Post Editorial","2017-07-26 1:54:41 PM","2019-04-30 1:15:48 PM",
"6bc48f41-726b-4f11-a375-1f5d43ab4166","Process","DC Post Regions (Segmentation & Process)","2018-06-26 10:52:45 AM","2019-04-29 8:56:10 AM",
"4c4823cc-7027-4aa7-b84c-4157ebbd3f97","Segmentation","DC Post Regions (Segmentation & Process)","2018-06-26 10:52:30 AM","2019-04-29 8:56:10 AM",
"3fa57626-4a26-47f0-ac22-295b3dd5bc49","DC Program Ops International Brands","DC Program Operations","2018-06-21 9:44:01 AM","2019-04-10 1:23:15 PM",
"8caf0eca-cc31-4b2c-8112-a8b3ebf4c41a","DC Program Ops E!, Dreamworks, TLMD Int'l","DC Program Operations","2017-10-20 7:16:34 PM","2019-04-10 1:22:37 PM",
"827702c6-f136-40c4-88ed-4a6b26a99746","Telemundo","DC Program Ops E!, Dreamworks, TLMD Int'l","2018-12-07 2:07:05 PM","2019-02-19 5:10:19 PM",
"d3bb4d32-5f52-46fa-9dfa-54f1214bfd9c","Studio","DC Program Ops E!, Dreamworks, TLMD Int'l","2018-12-07 2:06:43 PM","2019-02-19 5:10:19 PM",
"2f8e56e8-8813-43d3-82e2-83b897436291","Dreamworks Animation","DC Program Ops E!, Dreamworks, TLMD Int'l","2018-12-07 2:06:08 PM","2019-02-19 5:10:19 PM",
"1a70c2ae-5e40-4b9d-abe5-efe084a29b3f","General Processes","DC Program Ops E!, Dreamworks, TLMD Int'l","2018-12-07 2:05:36 PM","2019-02-19 5:10:19 PM",
"8e3f41c9-aa29-40d5-8ed1-17380506ebf3","Channel Requirements","DC Program Ops International Brands","2018-09-04 11:18:31 AM","2019-02-19 5:11:35 PM",
"0bf77d33-8480-4ec8-b22d-2ee017bcb1ef","Topicals","DC Program Ops International Brands","2018-08-31 12:38:08 PM","2019-02-19 5:11:35 PM",
"2ebfc7b0-795a-481a-ab43-3ec5b936f5b0","VOD","DC Program Ops International Brands","2018-09-04 12:28:11 PM","2019-02-19 5:11:35 PM",
"a3f8fed2-64cb-432c-b53b-9548c4a84055","General Systems Overview","DC Program Ops International Brands","2018-09-04 11:15:18 AM","2019-02-19 5:11:35 PM",
"64ceed4d-05ef-443f-9019-04e1af6e3328","Sports Network Scheduling","DC Scheduling","2018-04-06 7:24:41 PM","2019-04-29 8:53:14 AM",
"8366bb8c-4cf0-4557-a94d-2650a098bf23","Misc.","DC Scheduling","2018-04-06 7:25:05 PM","2019-04-29 8:53:14 AM",
"ebb67ee2-96d8-4e7a-bf5a-307d3e7555bd","Entertainment Network Scheduling","DC Scheduling","2018-04-06 7:23:44 PM","2019-04-29 8:53:14 AM",
"58e04bc9-10ce-4738-b69c-341d6909180b","News Network Scheduling","DC Scheduling","2018-04-06 7:24:00 PM","2019-04-29 8:53:14 AM",
"a435f684-9535-461c-8c06-3dc002c7139a","StreetLite","DC Scheduling","2018-04-06 7:21:48 PM","2019-04-29 8:53:14 AM",
"b7e56e90-84a9-4489-9793-54d420ce36b0","Webscheduler Tabs & Functions","DC Scheduling","2018-04-06 7:21:28 PM","2019-04-29 8:53:14 AM",
"ab9a48fe-31d3-4d92-932f-575a9f2c3349","Cozi & Telexitos Scheduling","DC Scheduling","2018-04-06 7:24:26 PM","2019-04-29 8:53:14 AM",
"47640616-19ef-453e-9f2c-619deeedc9ba","Compass","DC Scheduling","2018-04-06 7:22:07 PM","2019-04-29 8:53:14 AM",
"0179df6d-ba0d-45b8-b655-705fafb6f797","NBC Scheduling","DC Scheduling","2018-04-06 7:24:54 PM","2019-04-29 8:53:14 AM",
"800fc272-a515-4d04-bd3d-7f2d68dde98e","DC Manpower Scheduling","DC Scheduling","2019-03-06 4:18:10 PM","2019-04-29 8:53:14 AM",
"8a138b2d-75ec-4957-8283-b13d7c940a0d","Golf Scheduling","DC Scheduling","2018-04-06 7:24:14 PM","2019-04-29 8:53:14 AM",
"51abdf4e-c339-4e30-ac94-beea6cbc59b9","Telemundo Scheduling","DC Scheduling","2018-04-20 6:44:44 PM","2019-04-29 8:53:14 AM",
"ea725eac-7beb-4f99-be79-dd6a9a8d6a82","OTTO","DC Scheduling","2018-04-06 7:22:19 PM","2019-04-29 8:53:14 AM",
"f053dc7e-572a-48b0-89c3-09875b73e8f4","DC HUB TMs","DC TMs","2017-10-05 4:11:08 PM","2019-02-19 4:47:45 PM",
"61177e9f-a6b6-4da9-924a-98faac94b07d","DC Business Continuity TMs","DC TMs","2018-08-29 10:57:19 AM","2019-02-19 5:00:31 PM",
"26435462-f9bc-443e-a8bf-fb0cede000fc","DC TVE/DR TMs","DC TMs","2018-07-10 12:36:15 PM","2019-02-19 4:45:07 PM",
"6e9637ec-9b9a-4ce3-b63c-1843db5601bf","Tools and NOC Applications","DC TVE/DR MCO","2018-07-10 12:40:58 PM","2019-02-19 4:45:53 PM",
"75498de4-b3a6-4cd6-a573-4e6f5d925926","Live Event Operation and Off Air Adjustments","DC TVE/DR MCO","2018-07-10 12:39:42 PM","2019-02-19 4:45:53 PM",
"deea8170-e928-4aa6-b844-9e866b9e088e","Recovery","DC TVE/DR MCO","2018-07-10 12:38:44 PM","2019-02-19 4:45:53 PM",
"512d84e5-a7a0-4234-8afa-a6b08b0973ee","General Operations","DC TVE/DR MCO","2018-07-10 12:39:00 PM","2019-02-19 4:45:53 PM",
"d96f5e9e-a707-40c2-b920-f6034b95a63d","Automation","DC TVE/DR MCO","2018-07-10 12:39:18 PM","2019-02-19 4:45:53 PM",
"30ff0d76-9efe-4bc9-be42-23f0acd9f2fe","Recovery","DC TVE/DR TMs","2018-07-10 12:41:40 PM","2019-02-19 4:45:07 PM",
"aeeb503e-2e3d-447f-baef-49a5bdcff96d","Alliance/Transmission","DC TVE/DR TMs","2018-07-10 12:41:26 PM","2019-02-19 4:45:07 PM",
"263412f1-6aac-4f92-908d-4d2c84b2397f","Going Hot DR","DC TVE/DR TMs","2018-07-10 12:41:57 PM","2019-02-19 4:45:07 PM",
"da020971-9950-4e06-935e-6342f53f1942","General Operations","DC TVE/DR TMs","2018-07-10 12:42:14 PM","2019-02-19 4:45:07 PM",
"f01297a7-75f2-4138-99c5-934388ef3aa5","Live Event Operation and Off Air Adjustments","DC TVE/DR TMs","2018-07-10 12:43:02 PM","2019-02-19 4:45:07 PM",
"d37debda-ba0a-4337-82c9-a07dcbf2a546","Tools and Applications","DC TVE/DR TMs","2018-07-10 12:43:27 PM","2019-02-19 4:45:07 PM",
"1b4c4c4c-170c-406f-8552-d532992baedf","Automation","DC TVE/DR TMs","2018-07-10 12:42:31 PM","2019-02-19 4:45:07 PM",
"da76e909-6e0d-43a6-bf7e-2def8d483523","EC Portfolio Management","Digital","2019-04-29 8:42:11 AM","2019-04-29 8:59:55 AM",
"df04b3a7-ec36-4695-a24a-4e01db2db734","EC Digital NOC","Digital","2019-04-29 8:41:56 AM","2019-04-29 8:59:38 AM",
"96cd21fa-bdee-4e9e-8694-d60313e9f76f","EC Affiliate Operations","Digital","2019-04-29 8:41:27 AM","2019-04-29 8:59:17 AM",
"5aebf7ee-6e4e-46bf-9588-452f702cb412","DC On-Air Scheduling","Distribution","2019-04-29 8:43:48 AM","2019-04-29 9:03:40 AM",
"b98b456f-d339-4845-8137-9aeef139be3e","EC Supervisors/TMs","Distribution","2019-02-15 2:28:49 PM","2019-02-15 2:30:30 PM",
"9b248a00-5c44-4ae0-aa27-b709fb447a50","DC TMs","Distribution","2019-02-19 1:10:44 PM","2019-02-19 1:10:44 PM",
"9dcbd4b5-45c5-4812-acda-bc909680810e","EC TPC","Distribution","2019-04-29 8:53:32 AM","2019-04-30 1:24:00 PM",
"8f9f593a-1f78-4f12-a02d-dcdd7969aa25","DC MCO","Distribution","2019-02-19 1:10:27 PM","2019-02-19 4:46:35 PM",
"cf046c22-21d9-413d-b342-f2285ccc2b68","EC On-Air Graphics & scheduling","Distribution","2019-04-29 8:43:32 AM","2019-04-29 9:03:27 AM",
"68613192-0c8a-4c2e-a3d1-f9860e8c7c40","EC MCO","Distribution","2019-02-15 2:29:04 PM","2019-02-19 4:46:51 PM",
"29cfef9c-f096-493f-8b11-67170bd5eab6","EC Media Products","EC Advanced Media Products","2018-07-26 3:11:58 PM","2019-04-30 1:16:07 PM",
"eead71b9-f439-4734-b85f-e62283ccff52","EC Affiliate Ops","EC Affiliate Operations","2018-07-23 11:47:33 AM","2019-04-30 1:16:43 PM",
